지표연도,학교명,설립구분,지역,학부 정원내 재학생수,학부 정원내외 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,전임교원수(명),교원법정정원(명),전임교원 확보율,시설면적(㎡),기준면적(㎡),교사 확보율,정원내 입학자수(명),정원내 모집인원(명),정원내 신입생 충원율,정원내 재학생수(명),학생정원-학생모집정지인원(명),정원내 재학생 충원율,총교육비(천원),등록금(천원),교육비 환원율,장학금(천원),등록금(천원),장학금 비율,등록금(천원),운영수입(세입총액)(천원),[1.2.1] 세입 중 등록금 비율,기부금(천원),운영수입(세입총액)(천원),[1.2.1] 세입 중 기부금 비율,법인전입금(천원),운영수입(천원),[1.2.1] 세입 중 법인전입금 비율(사립대),강사료 계(원),강의시간수 계(시간),[3.1.2] 시간강사 강의료,교내연구비(천원),전임교원수(명),[3.1.3] 전임교원 1인당 교내연구비,학부 및 대학원 재학생수,직원수(명),[3.2.1] 직원 1인당 학생수,수용인원(명),재학생수(명),[4.1.2] 기숙사 수용률,자료구입비(원),학생수(명),[4.1.3] 재학생 1인당 연간 자료구입비(결산),도서관직원수(명),학부 및 대학원 재학생수,"[4.1.3] 재학생 1,000명당 도서관 직원수",등재(후보)지 논문 건수(건),전임교원수(명),[5.1.1] 전임교원 1인당 등재(후보)지 논문 실적,SCI급 논문 건수(건),전임교원수(명),[5.1.1] 전임교원 1인당 SCI급 논문 실적,저역서수(건),전임교원수(명),[5.1.1] 전임교원 1인당 저역서 실적,교외연구비(천원),전임교원수(명),[5.1.1] 전임교원 1인당 교외연구비,[5.1.1] 연구성과 기준값 대비 실적,취업자(명),졸업자(명),[5.1.2] 졸업생의 취업률
2020,건양대학교,사립,충남,6535,7039,7603,7603,7603,268,352,76.13636,215698,114991,187.57815,1655,1657,99.87929,6535,6890,94.8476,104876134.7,53362690.79,196.53456,10580582.79,48822162.37,21.67167,53362690.79,104598099.6,51.01688,1805607.461,104598099.6,1.72623,4486312,104598099.6,4.28909,306255000,5556,55121.49028,602497,385,1564.92727,7603,235,32.35319,2826,7363,38.38109,653918315,7914,82628.04081,7.8,7603,1.02591,172.0041,385,0.44676,62.6648,385,0.16276,26.2531,385,0.06818,14061079,385,36522.28311,9.15815,1243,1666,74.60984
2020,경기대학교,사립,경기,11827,13712,15975,15975,15975,541,757,71.46631,213021,199214,106.93073,2928,2932,99.86357,11827,11759,100.57828,161881241.8,119616961.9,135.33301,19684001.11,98335057,20.01727,119616961.9,175904934.6,68.00091,994212.144,175904934.6,0.56519,420000,175904934.6,0.23876,901530000,16695,54000.0,1246868,541,2304.74676,15975,265,60.28301,2216,14825,14.94772,877122062,16083,54537.21706,17.2,15975,1.07668,397.7363,541,0.73518,183.6688,541,0.33949,30.7472,541,0.05683,17624358,541,32577.37153,12.96016,1779,2912,61.09203
2020,경남과학기술대학교,국립,경남,4801,5032,5425,5425,5425,192,265,72.45283,107768,79338,135.83402,1129,1129,100,4801,4767,100.71323,54915953.31,16215353.01,338.6664,3445532.24,17521190.76,19.66494,16215353.01,68052215.16,23.82781,558167.37,68052215.16,0.8202,,,,1491240029,18464,80764.73293,100000,193,518.13471,5425,147,36.90476,950,5276,18.00606,367985360,5204,70712.02152,6,5425,1.10599,129.6331,193,0.67167,43.7617,193,0.22674,7.6194,193,0.03947,9789230,193,50721.39896,12.09008,609,1030,59.12621
2020,경남대학교,사립,경남,10427,11147,12302,12302,12302,447,616,72.56493,203749,189754,107.37533,2733,2853,95.7939,10427,11569,90.12879,120907214.2,80570869.95,150.06318,13781374.69,72543834.79,18.9973,80570869.95,121237558.1,66.45702,909398.537,121237558.1,0.75009,1120000,121237558.1,0.9238,729151200,13502.8,53999.99999,450000,447,1006.7114,12302,221,55.66515,1653,11620,14.22547,875991754,12609,69473.53112,14.1,12302,1.14615,288.7462,447,0.64596,55.4089,447,0.12395,30.4734,447,0.06817,6572921,447,14704.52125,6.76911,1581,2794,56.58554
2020,경동대학교,사립,강원,6633,7814,7814,7814,7814,254,365,69.58904,173719,116692,148.86967,1785,1787,99.88808,6633,7140,92.89915,57145871.28,59479250.85,96.07698,11572464.5,59446370.85,19.46706,59479250.85,83371612.9,71.34232,419707.503,83371612.9,0.50341,1759877.55,83371612.9,2.11088,322245000,5940,54250.0,252876,254,995.5748,7814,120,65.11666,2303,7521,30.62092,439899359,7794,56440.76969,8.8,7814,1.12618,105.8677,254,0.4168,25.4819,254,0.10032,48.5325,254,0.19107,712745,254,2806.08267,6.20753,1258,1547,81.31868
2020,경북대학교,국립,대구,20176,22303,27862,27862,27862,973,1342,72.50372,633556,387940,163.31288,4618,4627,99.80548,20176,19070,105.79968,444848508.9,111711685.1,398.21126,19422651.09,106460588.1,18.24398,111711685.1,361944473.7,30.86431,4669065.46,361944473.7,1.28999,,,,3476965030,40067,86778.7713,13484133,1348,10003.06602,27862,963,28.9325,6967,26000,26.79615,5085824740,28251,180022.82184,48.3,27862,1.73354,645.2519,1348,0.47867,819.3061,1348,0.60779,75.5731,1348,0.05606,142758761,1348,105904.12537,24.91482,2615,4521,57.84118
2020,경상대학교,국립,경남,12809,13989,16085,16085,16085,606,749,80.90787,413510,232016,178.22477,3028,3033,99.83514,12809,12360,103.63268,243622640.8,57789249.25,421.57086,10361682.42,54315455.64,19.07685,57789249.25,237662719.1,24.31565,2510889.141,237662719.1,1.05649,,,,2018857200,22604.1,89313.76166,1060750,815,1301.53374,16085,543,29.62246,3677,15051,24.43027,2539121306,16546,153458.31657,25.2,16085,1.56667,455.3875,815,0.55875,372.7146,815,0.45731,73.9866,815,0.09078,66803612,815,81967.62208,20.23645,1461,2908,50.24071
2020,경성대학교,사립,부산,10883,12454,13025,13025,13025,438,602,72.75747,213196,188222,113.26837,2744,2746,99.92716,10883,11225,96.95322,117334505.1,82979501.06,141.40179,14868559.71,77862740.76,19.09585,82979501.06,129188520.9,64.23132,1010981.189,129188520.9,0.78256,250000,129188520.9,0.19351,1271157000,22265,57092.16258,1070151,438,2443.26712,13025,275,47.36363,1415,12853,11.0091,923044868,12883,71648.28595,12,13025,0.9213,200.9876,438,0.45887,43.2382,438,0.09871,33.7943,438,0.07715,10661246,438,24340.74429,6.82172,1548,2644,58.54765
2020,경운대학교,사립,경북,4097,4338,4464,4464,4464,195,242,80.57851,120142,84496,142.18661,1165,1184,98.39527,4097,4736,86.5076,48238813.12,34451712.85,140.01862,7386343.474,33472526.18,22.06688,34451712.85,55391096.47,62.1972,258338.52,55391096.47,0.46638,139000,55391096.47,0.25094,643410000,11190,57498.65951,244185,195,1252.23076,4464,148,30.16216,1511,4396,34.37215,145823826,4608,31645.79557,4.9,4464,1.09767,76.4,195,0.39179,3.8978,195,0.01998,27.6493,195,0.14179,1775208,195,9103.63076,4.45514,654,992,65.92741
2020,경일대학교,사립,경북,6242,6922,7141,7141,7141,255,339,75.22123,130006,117368,110.76784,1580,1591,99.30861,6242,6356,98.20641,72800209.9,45917000.73,158.54739,8551617.004,44087029.21,19.39712,45917000.73,73045909.38,62.86046,2557591.785,73045909.38,3.50134,300000,73045909.38,0.4107,310050000,5421,57194.2446,197051,255,772.74901,7141,151,47.29139,1626,7098,22.90786,412727327,7015,58834.97177,7.6,7141,1.06427,75.2968,255,0.29528,22.1199,255,0.08674,8.65,255,0.03392,3927026,255,15400.10196,4.60315,752,1202,62.56239
2020,경주대학교,사립,경북,725,1013,1097,1097,1097,66,151,43.7086,60220,48020,125.40608,176,702,25.07122,725,2970,24.41077,,,,2010229.81,7425559.02,27.07176,,,,,,,,,,66150000,1350,49000.0,0,66,0,1097,54,20.31481,341,777,43.88674,34628060,1207,28689.36205,2.6,1097,2.3701,18,66,0.27272,1.1012,66,0.01668,4.2001,66,0.06363,92006,66,1394.0303,2.16143,194,338,57.39644
